timeStep pedestrianId overlapPedestrianId distance overlaps
2 1 31 0.3865259523581251 0.003474047641874922
2 13 104 0.38172228109252804 0.008277718907471976
2 18 38 0.38629848603387307 0.003701513966126946
2 23 49 0.38455358342111373 0.005446416578886282
2 57 79 0.38547614986719536 0.004523850132804652
2 70 86 0.38128612402634626 0.00871387597365375
3 1 31 0.3865259523581251 0.003474047641874922
3 13 104 0.38172228109252804 0.008277718907471976
3 18 38 0.38629848603387307 0.003701513966126946
3 23 49 0.38455358342111373 0.005446416578886282
3 27 110 0.3861298404605564 0.0038701595394436406
3 51 112 0.3821815065600104 0.007818493439989638
3 57 79 0.38547614986719536 0.004523850132804652
3 70 86 0.38128612402634626 0.00871387597365375
3 77 112 0.38441490077932977 0.005585099220670242
4 3 39 0.3853106464780328 0.004689353521967199
4 14 39 0.38790145345443466 0.0020985465455653496
4 18 38 0.38629848603387307 0.003701513966126946
4 65 93 0.3817953285932171 0.008204671406782937
5 4 10 0.3875546704223959 0.0024453295776041273
5 18 38 0.38629848603387307 0.003701513966126946
5 99 101 0.38293641234509324 0.007063587654906778
6 18 38 0.38629848603387307 0.003701513966126946
6 99 101 0.38293641234509324 0.007063587654906778
7 18 38 0.38629848603387307 0.003701513966126946
7 57 89 0.3871536826372913 0.002846317362708739
7 99 101 0.38293641234509324 0.007063587654906778
8 18 38 0.38629848603387307 0.003701513966126946
8 34 39 0.38643338139407285 0.003566618605927163
8 53 121 0.388063935994324 0.0019360640056760303
8 57 89 0.3871536826372913 0.002846317362708739
9 18 38 0.38629848603387307 0.003701513966126946
9 46 116 0.3868960607326356 0.0031039392673644084
10 18 38 0.38629848603387307 0.003701513966126946
10 46 116 0.3868960607326356 0.0031039392673644084
10 71 107 0.38248984534253344 0.007510154657466572
11 18 38 0.38629848603387307 0.003701513966126946
11 46 116 0.3868960607326356 0.0031039392673644084
14 57 66 0.38249089919173335 0.007509100808266667
14 85 114 0.3820531758038163 0.0079468241961837
15 28 38 0.38917974908634273 8.202509136572833E-4
15 41 42 0.38801454322295614 0.0019854567770438702
16 73 132 0.3884192774364157 0.0015807225635843247
17 7 128 0.38483449210939 0.005165507890609988
18 32 104 0.3866429869305178 0.0033570130694822176
18 66 89 0.3886513645603194 0.0013486354396806122
19 66 89 0.3886513645603194 0.0013486354396806122
20 66 89 0.3886513645603194 0.0013486354396806122
22 66 101 0.3828887046885265 0.007111295311473531
28 41 134 0.3885192610447907 0.0014807389552093375
29 55 120 0.38786138251074087 0.0021386174892591425
29 77 81 0.37650926507197435 0.01349073492802566
29 105 127 0.38913217038514525 8.678296148547648E-4
30 77 81 0.37650926507197435 0.01349073492802566
30 105 127 0.38913217038514525 8.678296148547648E-4
47 55 73 0.3847409566734645 0.00525904332653554
58 65 92 0.38401675563348064 0.005983244366519369
66 60 83 0.3842109862118683 0.005789013788131736
86 55 84 0.3883605546202277 0.0016394453797722863
