Time :43.787595405756356[s], Pedestrian Nr. 10
Point-Nr.; Simplex best x-coor.; Simplex best y-coor.; Simplex 2best x-coor.; Simplex 2best y-coor.;Simplex worst x-coor.; Simplex worst y-coor.
1;8.449625647408903; 8.333618300383725;8.838334939108922; 7.944909008683706;8.838334939108922; 8.722327592083744
1;8.449625647408903; 8.333618300383725;8.449625647408904; 7.556199716983688;8.838334939108922; 7.944909008683706
1;8.060916355708887; 7.944909008683706;8.449625647408903; 8.333618300383725;8.449625647408904; 7.556199716983688
1;8.060916355708887; 7.944909008683706;8.3524483244839; 7.847731685758702;8.449625647408903; 8.333618300383725
1;8.060916355708887; 7.944909008683706;8.328153993752647; 8.114969323802464;8.3524483244839; 7.847731685758702
1;7.8787088752245005; 8.394354127211852;8.060916355708887; 7.944909008683706;8.328153993752647; 8.114969323802464
2;8.83833493910892; 8.333618300383725;9.22704423080894; 8.333618300383725;9.180160153491752; 8.599511115702244
2;8.83833493910892; 8.333618300383725;8.88521901642611; 8.067725485065205;9.22704423080894; 8.333618300383725
2;8.131242471684669; 7.9347790774059455;8.83833493910892; 8.333618300383725;8.88521901642611; 8.067725485065205
2;7.6839280833381665; 8.267145096554092;8.131242471684669; 7.9347790774059455;8.83833493910892; 8.333618300383725
2;7.6839280833381665; 8.267145096554092;8.131242471684669; 7.9347790774059455;8.372960108310169; 8.217290193681873
2;7.6839280833381665; 8.267145096554092;8.131242471684669; 7.9347790774059455;8.140272692910793; 8.159126140330946
2;7.6839280833381665; 8.267145096554092;8.023928985211105; 8.130044113655483;8.131242471684669; 7.9347790774059455
2;7.6839280833381665; 8.267145096554092;7.992585502979653; 8.066686841255367;8.023928985211105; 8.130044113655483
2;7.6839280833381665; 8.267145096554092;7.931092889185008; 8.148480041280106;7.992585502979653; 8.066686841255367
2;7.6839280833381665; 8.267145096554092;7.9000479946206195; 8.137249705086234;7.931092889185008; 8.148480041280106
3;8.814892900450328; 8.466564708042984;9.180160153491752; 8.599511115702244;9.045162833199928; 8.83333333333333
3;8.902253914513263; 7.932447068951184;8.814892900450328; 8.466564708042984;9.180160153491752; 8.599511115702244
3;8.53698666147184; 7.799500661291924;8.902253914513263; 7.932447068951184;8.814892900450328; 8.466564708042984
3;8.53698666147184; 7.799500661291924;8.76725659422144; 8.166269286582269;8.902253914513263; 7.932447068951184
3;8.151857054513393; 8.083760783908922;8.53698666147184; 7.799500661291924;8.76725659422144; 8.166269286582269
3;8.151857054513393; 8.083760783908922;8.53698666147184; 7.799500661291924;8.555839226107029; 8.053950004591346
