timeStep pedestrianId overlapPedestrianId distance overlaps
4 3 7 0.3896954735776135 3.045264223864863E-4
7 79 146 0.3811081281850706 0.008891871814929397
10 74 128 0.384030881215011 0.005969118784989014
18 23 142 0.3828141196324819 0.007185880367518105
23 30 95 0.385906244938054 0.004093755061946036
30 62 110 0.3824351835313446 0.007564816468655422
31 117 138 0.38616386466052116 0.003836135339478852
34 34 126 0.3856357419468494 0.004364258053150605
39 40 98 0.3896992763329437 3.007236670563018E-4
41 74 128 0.3884113840511263 0.0015886159488737173
41 78 129 0.3864949739862511 0.003505026013748913
42 4 45 0.385313247361846 0.00468675263815399
42 78 121 0.38826638088160237 0.0017336191183976446
43 4 45 0.38146184833504765 0.008538151664952365
44 4 93 0.3870862411626009 0.0029137588373991385
44 43 124 0.3810953365510644 0.00890466344893559
45 28 44 0.3811072884552522 0.0088927115447478
45 42 57 0.3898986379500605 1.0136204993949072E-4
46 30 100 0.3818261481096501 0.008173851890349915
47 30 57 0.3893545279873881 6.454720126118918E-4
47 30 100 0.3818261481096501 0.008173851890349915
47 129 133 0.38424446830762427 0.005755531692375748
48 30 100 0.3818261481096501 0.008173851890349915
48 57 129 0.38307637014671975 0.0069236298532802665
49 30 100 0.3818261481096501 0.008173851890349915
50 2 37 0.3861732877796932 0.0038267122203068382
50 30 100 0.3818261481096501 0.008173851890349915
51 7 57 0.3892073056978009 7.926943021991373E-4
51 30 100 0.3875630205302514 0.0024369794697486347
51 83 97 0.3857218467628653 0.0042781532371347075
52 8 87 0.3894992250236229 5.007749763771274E-4
52 87 111 0.38319331629387166 0.006806683706128358
53 23 25 0.380831515987206 0.00916848401279402
53 87 111 0.3898378316079426 1.6216839205740463E-4
54 8 42 0.3837190358283224 0.0062809641716776166
54 8 100 0.3858605335410044 0.0041394664589956
54 42 135 0.3845533629821655 0.005446637017834488
54 87 129 0.3809297666143597 0.009070233385640336
55 8 87 0.38805540367925095 0.001944596320749059
55 8 100 0.38962854269872355 3.714573012764677E-4
55 42 87 0.38597844601997977 0.004021553980020243
55 86 106 0.3830694153826276 0.006930584617372393
56 14 145 0.38919295431050116 8.070456894988531E-4
56 18 142 0.38034768696826815 0.009652313031731863
56 23 52 0.38945478210738077 5.45217892619243E-4
56 25 137 0.383282765086623 0.0067172349133770015
56 42 86 0.38301386625765105 0.0069861337423489656
56 42 135 0.3800688778292112 0.009931122170788786
56 62 126 0.389081654184122 9.183458158780189E-4
56 111 135 0.3798341714793886 0.01016582852061143
57 18 51 0.3829260895499479 0.007073910450052123
57 36 42 0.38175438471945317 0.008245615280546847
57 48 61 0.3890529441745402 9.470558254597861E-4
57 62 88 0.38976169019437035 2.383098056296662E-4
58 112 116 0.3887734237015511 0.0012265762984489115
61 97 117 0.3830732058918248 0.006926794108175205
62 25 101 0.38026044652068675 0.009739553479313268
62 56 61 0.3807950977602099 0.009204902239790091
63 49 139 0.3858736270836155 0.004126372916384513
63 99 126 0.3834732222099624 0.00652677779003763
64 18 51 0.38478099291085893 0.005219007089141081
64 60 144 0.38135526350754884 0.008644736492451177
64 99 126 0.37947324398627075 0.010526756013729266
65 3 18 0.3825516648986527 0.007448335101347292
65 11 117 0.3856068902214464 0.004393109778553617
66 25 101 0.3890982864710761 9.017135289239309E-4
66 33 107 0.38114097556152426 0.008859024438475749
66 51 129 0.3831383543828559 0.006861645617144141
66 83 101 0.3898909821555503 1.090178444497214E-4
67 17 142 0.38190928892978776 0.008090711070212253
67 25 101 0.3890982864710761 9.017135289239309E-4
67 25 117 0.3845671254525435 0.005432874547456501
67 40 60 0.38851226410598516 0.0014877358940148522
67 51 129 0.3831383543828559 0.006861645617144141
67 83 142 0.38582396841791095 0.004176031582089068
68 51 129 0.3831383543828559 0.006861645617144141
68 101 142 0.3814154146782598 0.008584585321740223
69 13 31 0.3835498617675103 0.006450138232489688
69 35 103 0.38214276846980133 0.007857231530198683
69 51 129 0.3831383543828559 0.006861645617144141
69 88 97 0.3893389599091647 6.610400908353409E-4
69 101 142 0.3814154146782598 0.008584585321740223
70 33 51 0.385390568189601 0.004609431810399023
70 33 142 0.37989270657626933 0.010107293423730679
