timeStep pedestrianId overlapPedestrianId distance overlaps
2 1 91 0.38706383509643677 0.002936164903563243
3 1 91 0.38706383509643677 0.002936164903563243
12 51 105 0.38399121913717793 0.006008780862822083
17 7 73 0.38061375931642255 0.009386240683577463
21 39 52 0.38528242309966626 0.004717576900333753
21 39 104 0.3880890459877994 0.0019109540122005941
23 16 28 0.3820376017954021 0.007962398204597931
23 17 44 0.38934024170233056 6.597582976694549E-4
23 35 58 0.38850110759688483 0.0014988924031151818
24 17 101 0.3817153483480226 0.008284651651977393
24 28 101 0.38248844570086316 0.007511554299136858
25 6 16 0.3853542991091142 0.00464570089088584
25 21 84 0.38574372992495587 0.004256270075044144
27 17 28 0.38299740972870955 0.007002590271290465
28 17 28 0.3870152102804983 0.0029847897195017237
29 28 76 0.3814353952475657 0.008564604752434313
30 17 46 0.3892691454876632 7.308545123367871E-4
32 7 42 0.3808181822498161 0.009181817750183896
33 4 110 0.38519229117174353 0.004807708828256485
35 30 36 0.3885373212399097 0.001462678760090319
37 21 121 0.3836891758724592 0.006310824127540804
38 21 60 0.37980072452537644 0.01019927547462357
38 100 111 0.38682876224327 0.0031712377567300054
